date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:09:21	50469/50469	---MCZ	200	added ('OK')	text/html	etag:%2256b456c6f3379db570ab24532ff056d5-ssl-df%22	https://clarks-vcard.netlify.app/index-particles2.html	C:/Users/claudia.zayas/Downloads/Clones/Particles/clarks-vcard.netlify.app/index-particles2.html	(from )
10:09:21	1444/1444	---MCZ	404	error ('Not%20Found')	text/html	etag:1546430122-ssl-df	https://clarks-vcard.netlify.app/robots.txt		(from )
10:09:22	290/290	---M--	200	added ('OK')	text/css	etag:%22287223acefb646ebfbb7f4c10d4058dd-ssl%22	https://clarks-vcard.netlify.app/css/plugins.css	C:/Users/claudia.zayas/Downloads/Clones/Particles/clarks-vcard.netlify.app/css/plugins.css	(from https://clarks-vcard.netlify.app/index-particles2.html)
10:09:22	42063/42063	---MCZ	200	added ('OK')	text/css	etag:%22ac2bf1133f82afa8f2adee47ce40a33e-ssl-df%22	https://clarks-vcard.netlify.app/css/style.css	C:/Users/claudia.zayas/Downloads/Clones/Particles/clarks-vcard.netlify.app/css/style.css	(from https://clarks-vcard.netlify.app/index-particles2.html)
10:09:23	4206/4206	---MCZ	200	added ('OK')	text/css	etag:%22d80862070c54a77d62cfd51ba5e05a3b-ssl-df%22	https://clarks-vcard.netlify.app/css/style-demo.css	C:/Users/claudia.zayas/Downloads/Clones/Particles/clarks-vcard.netlify.app/css/style-demo.css	(from https://clarks-vcard.netlify.app/index-particles2.html)
10:09:23	2003/2003	---M-Z	200	added ('OK')	text/css	etag:%22d696e6b75af87958553d517d92ce1e88-ssl-df%22	https://clarks-vcard.netlify.app/css/cyan-color.css	C:/Users/claudia.zayas/Downloads/Clones/Particles/clarks-vcard.netlify.app/css/cyan-color.css	(from https://clarks-vcard.netlify.app/index-particles2.html)
10:09:23	4682/4682	---MCZ	200	added ('OK')	application/javascript	etag:%221a226dec6e4a845f694e90269037cda1-ssl-df%22	https://clarks-vcard.netlify.app/js/modernizr.js	C:/Users/claudia.zayas/Downloads/Clones/Particles/clarks-vcard.netlify.app/js/modernizr.js	(from https://clarks-vcard.netlify.app/index-particles2.html)
10:09:24	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%227b5166acf5e35fba15c8f9896b49321b-ssl%22	https://clarks-vcard.netlify.app/img/favicon.ico	C:/Users/claudia.zayas/Downloads/Clones/Particles/clarks-vcard.netlify.app/img/favicon.ico	(from https://clarks-vcard.netlify.app/index-particles2.html)
10:09:24	2093/2093	---M-Z	200	added ('OK')	text/css	etag:%2287093a836aa41201206f01e7868b1a96-ssl-df%22	https://clarks-vcard.netlify.app/css/tan-color.css	C:/Users/claudia.zayas/Downloads/Clones/Particles/clarks-vcard.netlify.app/css/tan-color.css	(from https://clarks-vcard.netlify.app/index-particles2.html)
10:09:25	2093/2093	---M-Z	200	added ('OK')	text/css	etag:%223dcd84180b48d9c267d84d90fe9eb8ac-ssl-df%22	https://clarks-vcard.netlify.app/css/red-color.css	C:/Users/claudia.zayas/Downloads/Clones/Particles/clarks-vcard.netlify.app/css/red-color.css	(from https://clarks-vcard.netlify.app/index-particles2.html)
10:09:25	2093/2093	---MCZ	200	added ('OK')	text/css	etag:%223d78e9bacd6ca87ba0afb70def7cf991-ssl-df%22	https://clarks-vcard.netlify.app/css/green-color.css	C:/Users/claudia.zayas/Downloads/Clones/Particles/clarks-vcard.netlify.app/css/green-color.css	(from https://clarks-vcard.netlify.app/index-particles2.html)
10:09:26	2093/2093	---M-Z	200	added ('OK')	text/css	etag:%221f4eff9fa9b58f5f830356199dbb9ae8-ssl-df%22	https://clarks-vcard.netlify.app/css/blue-color.css	C:/Users/claudia.zayas/Downloads/Clones/Particles/clarks-vcard.netlify.app/css/blue-color.css	(from https://clarks-vcard.netlify.app/index-particles2.html)
10:09:26	2093/2093	---M-Z	200	added ('OK')	text/css	etag:%2284874688d34a5f0a8a9217dae4152f54-ssl-df%22	https://clarks-vcard.netlify.app/css/purple-color.css	C:/Users/claudia.zayas/Downloads/Clones/Particles/clarks-vcard.netlify.app/css/purple-color.css	(from https://clarks-vcard.netlify.app/index-particles2.html)
10:09:27	588366/588366	---M--	200	added ('OK')	image/jpeg	etag:%2279193fb8ae39a99d1c333ca0f020b034-ssl%22	https://clarks-vcard.netlify.app/img/background/bg-img2.jpg	C:/Users/claudia.zayas/Downloads/Clones/Particles/clarks-vcard.netlify.app/img/background/bg-img2.jpg	(from https://clarks-vcard.netlify.app/index-particles2.html)
10:09:27	17846/17846	---M--	200	added ('OK')	image/jpeg	etag:%22578c79feae0eabefa80f8de366341c20-ssl%22	https://clarks-vcard.netlify.app/img/profile-img.jpg	C:/Users/claudia.zayas/Downloads/Clones/Particles/clarks-vcard.netlify.app/img/profile-img.jpg	(from https://clarks-vcard.netlify.app/index-particles2.html)
10:09:29	64427/64427	---M--	200	added ('OK')	image/jpeg	etag:%220ba0f6cf65285f5746efbffc88c2f43f-ssl%22	https://clarks-vcard.netlify.app/img/about-img.jpg	C:/Users/claudia.zayas/Downloads/Clones/Particles/clarks-vcard.netlify.app/img/about-img.jpg	(from https://clarks-vcard.netlify.app/index-particles2.html)
10:09:29	3319/3319	---M--	200	added ('OK')	image/jpeg	etag:%22068f9dcc0b0a90c436b3ea790bb235e3-ssl%22	https://clarks-vcard.netlify.app/img/testimonials/author-1.jpg	C:/Users/claudia.zayas/Downloads/Clones/Particles/clarks-vcard.netlify.app/img/testimonials/author-1.jpg	(from https://clarks-vcard.netlify.app/index-particles2.html)
